case_id,case_family,category,query,expected_action,expected_reason,actual_action,actual_reason,claim_recall_pct,context_precision_pct,faithfulness_pct,claim_f1_pct,nrr_correct,retrieval_attempt,retrieval_status,retry_used,retry_outcome,packed_context_count,packed_context_chars,candidate_count,gold_candidate_hits,gold_pack_hits,pipeline_fingerprint,requested_provider,requested_model,actual_provider,actual_model,llm_fallback_used,primary_classification,root_cause_layer,severity,secondary_flags,baseline_case_delta,baseline_comparison,evidence_summary,audit_notes
ANS-DEF-001,answerable_single_turn,definition_classification,Mụn trứng cá được định nghĩa là bệnh gì và liên quan cấu trúc da nào?,generate,,generate,evidence_sufficient,100.0,12.5,100.0,30.76923076923077,,1,ok,false,,8,5164,21,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|over_answering|retrieval_noise,"{""claim_f1"": -9.2308, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=100.0; response_recall=1.0000; response_precision=0.1818; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Core gold claims were covered and grounded, but the response added substantially more supported claims than requested."
ANS-DEF-002,answerable_single_turn,definition_classification,Những dạng tổn thương cơ bản nào có thể xuất hiện trong mụn trứng cá?,generate,,generate,evidence_sufficient,100.0,62.5,92.0,26.373626373626376,,1,ok,false,,8,5542,23,1,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OMISSION,generation,MEDIUM,full_8_item_pack|generation_omission|high_claim_recall|high_faithfulness|retrieval_noise,"{""claim_f1"": -11.1264, ""claim_recall"": 0.0, ""context_precision"": 12.5, ""faithfulness"": 4.5}",MIXED,"gold_ids=1; candidate_hits=1; pack_hits=0; CR=100.0; response_recall=0.7500; response_precision=0.1600; faithfulness=92.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Gold-supporting context was complete, but the response omitted at least one required gold claim."
ANS-DEF-003,answerable_single_turn,definition_classification,Nhân mụn mở và nhân mụn đóng được gọi thông thường là gì?,generate,,generate,evidence_sufficient,100.0,12.5,100.0,50.0,,1,ok,false,,8,4666,24,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_noise,"{""claim_f1"": -50.0, ""claim_recall"": 0.0, ""context_precision"": -12.5, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=100.0; response_recall=1.0000; response_precision=0.3333; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-DEF-004,answerable_single_turn,definition_classification,"Vì sao đầu của mụn đầu đen có màu sẫm, có phải do da bẩn không?",generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,2,ok,true,final_action_incorrect,8,4977,25,0,0,5991f3c8effb67091fd6274c,,,system,,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,false_abstention|full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise|retry_used,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=0.0; response_recall=0.0000; response_precision=0.0000; faithfulness=0.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'retry', 'abstain']",Canonical gold provenance did not reach saved candidates; the downstream abstention followed undercoverage.
ANS-DEF-005,answerable_single_turn,definition_classification,NICE phân loại mụn nhẹ đến vừa dựa trên số tổn thương viêm và nốt như thế nào?,generate,,generate,evidence_sufficient,100.0,20.0,100.0,100.0,,1,ok,false,,5,5872,29,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": -5.0, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=1.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-DEF-006,answerable_single_turn,definition_classification,Khi nào số tổn thương được xếp vào mức mụn vừa đến nặng theo NICE?,generate,,generate,evidence_sufficient,100.0,20.0,100.0,80.0,,1,ok,false,,5,5959,30,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,"{""claim_f1"": 80.0, ""claim_recall"": 100.0, ""context_precision"": 20.0, ""faithfulness"": 100.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.6667; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-DEF-007,answerable_single_turn,definition_classification,Các yếu tố chính tham gia sinh bệnh học mụn trứng cá gồm những gì?,generate,,generate,evidence_sufficient,100.0,50.0,100.0,25.0,,1,ok,false,,8,4273,25,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,full_8_item_pack|high_claim_recall|high_faithfulness|over_answering|retrieval_gold_hit,"{""claim_f1"": -3.5714, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.1429; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Core gold claims were covered and grounded, but the response added substantially more supported claims than requested."
ANS-DEF-008,answerable_single_turn,definition_classification,Vi khuẩn C. acnes từng được gọi bằng tên nào và có đặc điểm vi sinh gì?,generate,,generate,evidence_sufficient,100.0,14.285714285714285,100.0,44.44444444444445,,1,ok,false,,7,5973,30,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,"{""claim_f1"": -22.2222, ""claim_recall"": 0.0, ""context_precision"": 1.7857, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.2857; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-DEF-009,answerable_single_turn,definition_classification,Ba kiểu sẹo teo thường gặp sau mụn được phân loại ra sao?,generate,,generate,evidence_sufficient,100.0,12.5,100.0,40.0,,1,ok,false,,8,4493,24,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_noise,"{""claim_f1"": 40.0, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=100.0; response_recall=1.0000; response_precision=0.2500; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-DEF-010,answerable_single_turn,definition_classification,Tăng sắc tố sau viêm sau mụn hình thành do cơ chế nào?,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,2,ok,true,final_action_incorrect,8,3703,26,0,0,5991f3c8effb67091fd6274c,,,system,,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,false_abstention|full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise|retry_used,"{""claim_f1"": -28.5714, ""claim_recall"": -100.0, ""context_precision"": -16.6667, ""faithfulness"": -100.0}",REGRESSED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=0.0; response_recall=0.0000; response_precision=0.0000; faithfulness=0.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'retry', 'abstain']",Canonical gold provenance did not reach saved candidates; the downstream abstention followed undercoverage.
